PanID,Site,Date_collected,Volume_Filtered_ml,Pan_g,Pan + Filter (g),Pan + Dried (g),Pan+Ash (g),Ash_wt_g,VSS_gL,VSS_mgL,POC_mgL,DI + Dried (g),,,,,,,,,
22,BABYMARSH,2019-03-22,600,1.3141,1.4252,1.439,1.4362,0.0028,0.004666667,4.666666667,2.333333333,1.4363,,,,,,,,,
2,BABYMARSH,2019-03-22,600,1.2753,1.386,1.3994,1.3962,0.0032,0.005333333,5.333333333,2.666666667,1.3965,,,,,,,,,
15,BABYMARSH,2019-03-22,600,1.3004,1.4116,1.4242,1.4212,0.003,0.005,5,2.5,1.4212,,,,,,,,,
12,KNAGGS,2019-03-22,400,1.3033,1.4155,1.4297,1.4273,0.0024,0.006,6,3,1.4276,,,,,,,,,
8,KNAGGS,2019-03-22,350,1.2944,1.4054,1.4185,1.4164,0.0021,0.006,6,3,1.4166,,,,,,,,,
18,KNAGGS,2019-03-22,450,1.3,1.4111,1.4301,1.4273,0.0028,0.006222222,6.222222222,3.111111111,1.4276,,,,,,,,,
36,XSSAC,2019-03-25,1000,1.3042,1.4186,1.4403,1.4382,0.0021,0.0021,2.1,1.05,,,,,,,,,,
1,XSSAC,2019-03-25,1000,1.304,1.4155,1.449,1.4461,0.0029,0.0029,2.9,1.45,,,,,,,,,,
14,XSSAC,2019-03-25,850,1.3075,1.4204,1.4515,1.4486,0.0029,0.003411765,3.411764706,1.705882353,,,,,,,,,,
31,MOK-US-RR,2019-03-26,1000,1.3042,1.4154,1.4244,1.4233,0.0011,0.0011,1.1,0.55,,,,,,,,,,
33,MOK-US-RR,2019-03-26,1000,1.2855,1.3973,1.4062,1.4048,0.0014,0.0014,1.4,0.7,,,,,,,,,,
34,MOK-US-RR,2019-03-26,1000,1.3085,1.4202,1.4291,1.4278,0.0013,0.0013,1.3,0.65,,,,,,,,,,
9,COS-BEACH,2019-03-26,1000,1.2895,1.4015,1.4111,1.4093,0.0018,0.0018,1.8,0.9,,,,,,,,,,
10,COS-BEACH,2019-03-26,1000,1.2896,1.4016,1.4066,1.4056,0.001,0.001,1,0.5,,,,,,,,,,
11,COS-BEACH,2019-03-26,1000,1.3135,1.4263,1.4305,1.4294,0.0011,0.0011,1.1,0.55,,,,,,,,,,
17,COS-TRI,2019-03-26,1000,1.2988,1.4104,1.4169,1.4152,0.0017,0.0017,1.7,0.85,,,,,,,,,,
19,COS-TRI,2019-03-26,1000,1.3015,1.4134,1.4222,1.4206,0.0016,0.0016,1.6,0.8,,,,,,,,,,
35,COS-TRI,2019-03-26,1000,1.3105,1.4222,1.428,1.4267,0.0013,0.0013,1.3,0.65,,,,,,,,,,
21,WENDELLS,2019-03-26,1000,1.303,1.4145,1.4271,1.4253,0.0018,0.0018,1.8,0.9,,,,,,,,,,
23,WENDELLS,2019-03-26,1000,1.3074,1.4191,1.4341,1.432,0.0021,0.0021,2.1,1.05,,,,,,,,,,
24,WENDELLS,2019-03-26,1000,1.2949,1.4067,1.4214,1.4195,0.0019,0.0019,1.9,0.95,,,,,,,,,,
30,BABYMARSH,2019-03-27,625,1.307,1.4191,1.429,1.4269,0.0021,0.00336,3.36,1.68,,,,,,,,,,
32,BABYMARSH,2019-03-27,625,1.281,1.3924,1.403,1.4005,0.0025,0.004,4,2,,,,,,,,,,
3,BABYMARSH,2019-03-27,625,1.2879,1.3985,1.4091,1.4068,0.0023,0.00368,3.68,1.84,,,,,,,,,,
13,KNAGGS,2019-03-27,245,1.317,1.4277,1.4495,1.447,0.0025,0.010204082,10.20408163,5.102040816,1.4466,,,,,,,,,
